id,character
1,principal_skinner
2,mayor_quimby
3,lisa_simpson
4,homer_simpson
5,milhouse_van_houten
6,mayor_quimby
7,krusty_the_clown
8,lenny_leonard
9,kent_brockman
10,krusty_the_clown
11,bart_simpson
12,krusty_the_clown
13,homer_simpson
14,bart_simpson
15,abraham_grampa_simpson
16,mayor_quimby
17,lisa_simpson
18,lenny_leonard
19,milhouse_van_houten
20,lenny_leonard
21,homer_simpson
22,apu_nahasapeemapetilon
23,homer_simpson
24,abraham_grampa_simpson
25,homer_simpson
26,marge_simpson
27,charles_montgomery_burns
28,milhouse_van_houten
29,milhouse_van_houten
30,apu_nahasapeemapetilon
31,charles_montgomery_burns
32,chief_wiggum
33,ned_flanders
34,bart_simpson
35,edna_krabappel
36,marge_simpson
37,apu_nahasapeemapetilon
38,principal_skinner
39,sideshow_bob
40,chief_wiggum
41,homer_simpson
42,lenny_leonard
43,edna_krabappel
44,lisa_simpson
45,mayor_quimby
46,bart_simpson
47,krusty_the_clown
48,nelson_muntz
49,lenny_leonard
50,moe_szyslak
51,comic_book_guy
52,moe_szyslak
53,lenny_leonard
54,kent_brockman
55,ned_flanders
56,lenny_leonard
57,chief_wiggum
58,edna_krabappel
59,moe_szyslak
60,krusty_the_clown
61,charles_montgomery_burns
62,edna_krabappel
63,comic_book_guy
64,principal_skinner
65,moe_szyslak
66,lisa_simpson
67,milhouse_van_houten
68,chief_wiggum
69,lenny_leonard
70,bart_simpson
71,sideshow_bob
72,edna_krabappel
73,mayor_quimby
74,homer_simpson
75,lisa_simpson
76,krusty_the_clown
77,krusty_the_clown
78,sideshow_bob
79,bart_simpson
80,nelson_muntz
81,chief_wiggum
82,sideshow_bob
83,principal_skinner
84,principal_skinner
85,principal_skinner
86,kent_brockman
87,kent_brockman
88,krusty_the_clown
89,apu_nahasapeemapetilon
90,krusty_the_clown
91,ned_flanders
92,bart_simpson
93,moe_szyslak
94,comic_book_guy
95,sideshow_bob
96,ned_flanders
97,krusty_the_clown
98,ned_flanders
99,marge_simpson
100,mayor_quimby
101,principal_skinner
102,charles_montgomery_burns
103,principal_skinner
104,milhouse_van_houten
105,lenny_leonard
106,charles_montgomery_burns
107,edna_krabappel
108,comic_book_guy
109,ned_flanders
110,apu_nahasapeemapetilon
111,apu_nahasapeemapetilon
112,chief_wiggum
113,chief_wiggum
114,lisa_simpson
115,sideshow_bob
116,marge_simpson
117,kent_brockman
118,lisa_simpson
119,apu_nahasapeemapetilon
120,sideshow_bob
121,moe_szyslak
122,milhouse_van_houten
123,edna_krabappel
124,homer_simpson
125,bart_simpson
126,charles_montgomery_burns
127,kent_brockman
128,bart_simpson
129,marge_simpson
130,homer_simpson
131,principal_skinner
132,charles_montgomery_burns
133,apu_nahasapeemapetilon
134,charles_montgomery_burns
135,apu_nahasapeemapetilon
136,lisa_simpson
137,lenny_leonard
138,principal_skinner
139,kent_brockman
140,milhouse_van_houten
141,chief_wiggum
142,abraham_grampa_simpson
143,apu_nahasapeemapetilon
144,mayor_quimby
145,apu_nahasapeemapetilon
146,lenny_leonard
147,moe_szyslak
148,homer_simpson
149,mayor_quimby
150,milhouse_van_houten
151,apu_nahasapeemapetilon
152,apu_nahasapeemapetilon
153,bart_simpson
154,comic_book_guy
155,principal_skinner
156,marge_simpson
157,lisa_simpson
158,sideshow_bob
159,kent_brockman
160,sideshow_bob
161,charles_montgomery_burns
162,bart_simpson
163,apu_nahasapeemapetilon
164,sideshow_bob
165,chief_wiggum
166,sideshow_bob
167,principal_skinner
168,apu_nahasapeemapetilon
169,chief_wiggum
170,charles_montgomery_burns
171,charles_montgomery_burns
172,principal_skinner
173,apu_nahasapeemapetilon
174,comic_book_guy
175,kent_brockman
176,principal_skinner
177,apu_nahasapeemapetilon
178,lisa_simpson
179,chief_wiggum
180,ned_flanders
181,milhouse_van_houten
182,marge_simpson
183,krusty_the_clown
184,milhouse_van_houten
185,nelson_muntz
186,apu_nahasapeemapetilon
187,ned_flanders
188,moe_szyslak
189,homer_simpson
190,sideshow_bob
191,principal_skinner
192,abraham_grampa_simpson
193,edna_krabappel
194,chief_wiggum
195,chief_wiggum
196,chief_wiggum
197,nelson_muntz
198,homer_simpson
199,lenny_leonard
200,principal_skinner
201,principal_skinner
202,ned_flanders
203,moe_szyslak
204,charles_montgomery_burns
205,apu_nahasapeemapetilon
206,mayor_quimby
207,abraham_grampa_simpson
208,comic_book_guy
209,marge_simpson
210,edna_krabappel
211,chief_wiggum
212,marge_simpson
213,ned_flanders
214,milhouse_van_houten
215,homer_simpson
216,edna_krabappel
217,homer_simpson
218,moe_szyslak
219,bart_simpson
220,bart_simpson
221,apu_nahasapeemapetilon
222,milhouse_van_houten
223,marge_simpson
224,abraham_grampa_simpson
225,ned_flanders
226,edna_krabappel
227,lenny_leonard
228,comic_book_guy
229,comic_book_guy
230,mayor_quimby
231,apu_nahasapeemapetilon
232,edna_krabappel
233,lisa_simpson
234,apu_nahasapeemapetilon
235,milhouse_van_houten
236,marge_simpson
237,edna_krabappel
238,charles_montgomery_burns
239,kent_brockman
240,moe_szyslak
241,homer_simpson
242,edna_krabappel
243,abraham_grampa_simpson
244,charles_montgomery_burns
245,apu_nahasapeemapetilon
246,principal_skinner
247,sideshow_bob
248,edna_krabappel
249,krusty_the_clown
250,lisa_simpson
251,kent_brockman
252,bart_simpson
253,edna_krabappel
254,comic_book_guy
255,homer_simpson
256,abraham_grampa_simpson
257,chief_wiggum
258,milhouse_van_houten
259,sideshow_bob
260,homer_simpson
261,abraham_grampa_simpson
262,lenny_leonard
263,apu_nahasapeemapetilon
264,apu_nahasapeemapetilon
265,comic_book_guy
266,bart_simpson
267,moe_szyslak
268,sideshow_bob
269,bart_simpson
270,sideshow_bob
271,apu_nahasapeemapetilon
272,edna_krabappel
273,mayor_quimby
274,apu_nahasapeemapetilon
275,nelson_muntz
276,krusty_the_clown
277,abraham_grampa_simpson
278,nelson_muntz
279,charles_montgomery_burns
280,marge_simpson
281,nelson_muntz
282,principal_skinner
283,kent_brockman
284,krusty_the_clown
285,charles_montgomery_burns
286,marge_simpson
287,mayor_quimby
288,homer_simpson
289,moe_szyslak
290,edna_krabappel
291,ned_flanders
292,nelson_muntz
293,mayor_quimby
294,edna_krabappel
295,krusty_the_clown
296,edna_krabappel
297,lisa_simpson
298,krusty_the_clown
299,nelson_muntz
300,comic_book_guy
301,abraham_grampa_simpson
302,marge_simpson
303,marge_simpson
304,ned_flanders
305,ned_flanders
306,apu_nahasapeemapetilon
307,principal_skinner
308,moe_szyslak
309,comic_book_guy
310,nelson_muntz
311,charles_montgomery_burns
312,homer_simpson
313,edna_krabappel
314,nelson_muntz
315,edna_krabappel
316,charles_montgomery_burns
317,lisa_simpson
318,bart_simpson
319,kent_brockman
320,mayor_quimby
321,bart_simpson
322,abraham_grampa_simpson
323,chief_wiggum
324,kent_brockman
325,edna_krabappel
326,kent_brockman
327,krusty_the_clown
328,mayor_quimby
329,kent_brockman
330,charles_montgomery_burns
331,charles_montgomery_burns
332,homer_simpson
333,bart_simpson
334,nelson_muntz
335,kent_brockman
336,nelson_muntz
337,comic_book_guy
338,apu_nahasapeemapetilon
339,lisa_simpson
340,ned_flanders
341,chief_wiggum
342,sideshow_bob
343,principal_skinner
344,lenny_leonard
345,bart_simpson
346,abraham_grampa_simpson
347,lisa_simpson
348,lisa_simpson
349,mayor_quimby
350,sideshow_bob
351,krusty_the_clown
352,milhouse_van_houten
353,comic_book_guy
354,lisa_simpson
355,marge_simpson
356,krusty_the_clown
357,nelson_muntz
358,abraham_grampa_simpson
359,lisa_simpson
360,edna_krabappel
361,chief_wiggum
362,lisa_simpson
363,apu_nahasapeemapetilon
364,homer_simpson
365,milhouse_van_houten
366,sideshow_bob
367,homer_simpson
368,lenny_leonard
369,principal_skinner
370,abraham_grampa_simpson
371,ned_flanders
372,chief_wiggum
373,marge_simpson
374,edna_krabappel
375,moe_szyslak
376,lisa_simpson
377,moe_szyslak
378,ned_flanders
379,abraham_grampa_simpson
380,charles_montgomery_burns
381,ned_flanders
382,bart_simpson
383,bart_simpson
384,lenny_leonard
385,homer_simpson
386,marge_simpson
387,marge_simpson
388,apu_nahasapeemapetilon
389,marge_simpson
390,charles_montgomery_burns
391,bart_simpson
392,nelson_muntz
393,abraham_grampa_simpson
394,abraham_grampa_simpson
395,charles_montgomery_burns
396,mayor_quimby
397,marge_simpson
398,marge_simpson
399,homer_simpson
400,comic_book_guy
401,ned_flanders
402,chief_wiggum
403,moe_szyslak
404,milhouse_van_houten
405,comic_book_guy
406,sideshow_bob
407,marge_simpson
408,krusty_the_clown
409,apu_nahasapeemapetilon
410,milhouse_van_houten
411,krusty_the_clown
412,charles_montgomery_burns
413,ned_flanders
414,nelson_muntz
415,nelson_muntz
416,milhouse_van_houten
417,sideshow_bob
418,lenny_leonard
419,sideshow_bob
420,nelson_muntz
421,moe_szyslak
422,nelson_muntz
423,milhouse_van_houten
424,comic_book_guy
425,nelson_muntz
426,sideshow_bob
427,lenny_leonard
428,ned_flanders
429,mayor_quimby
430,homer_simpson
431,principal_skinner
432,sideshow_bob
433,mayor_quimby
434,lisa_simpson
435,marge_simpson
436,nelson_muntz
437,abraham_grampa_simpson
438,moe_szyslak
439,mayor_quimby
440,milhouse_van_houten
441,principal_skinner
442,nelson_muntz
443,principal_skinner
444,lisa_simpson
445,sideshow_bob
446,comic_book_guy
447,lenny_leonard
448,charles_montgomery_burns
449,ned_flanders
450,comic_book_guy
451,comic_book_guy
452,lenny_leonard
453,edna_krabappel
454,mayor_quimby
455,comic_book_guy
456,mayor_quimby
457,apu_nahasapeemapetilon
458,marge_simpson
459,milhouse_van_houten
460,chief_wiggum
461,nelson_muntz
462,homer_simpson
463,principal_skinner
464,apu_nahasapeemapetilon
465,abraham_grampa_simpson
466,comic_book_guy
467,moe_szyslak
468,sideshow_bob
469,marge_simpson
470,marge_simpson
471,mayor_quimby
472,milhouse_van_houten
